Start Date,End Date,Event Name,Category (CD / CD Classic / Raid / Mega / Shadow Raid / Spotlight / Research / Other)
,,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
,,Aron Spotlight Hour,Spotlight
,,Aron Spotlight Hour,Spotlight
,,Aron Spotlight Hour,Spotlight
,,Aron Spotlight Hour,Spotlight
,,Dialga (Origin Forme) Raid Hour,Raid/Mega
,,Dialga (Origin Forme) Raid Hour,Raid/Mega
,,Dialga (Origin Forme) Raid Hour,Raid/Mega
,,Dialga (Origin Forme) Raid Hour,Raid/Mega
,,Mega Metagross Raid Day,Raid/Mega
,,Mega Metagross Raid Day,Raid/Mega
,,Mega Metagross Raid Day,Raid/Mega
,,Mega Metagross Raid Day,Raid/Mega
,,Dynamax Beldum during Max Monday,Event/News
,,Dynamax Beldum during Max Monday,Event/News
,,Dynamax Beldum during Max Monday,Event/News
,,Dynamax Beldum during Max Monday,Event/News
,,GO Pass: September,Event/News
,,GO Pass: September,Event/News
,,GO Pass: September,Event/News
,,GO Pass: September,Event/News
,,Dialga in 5-star Raid Battles,Raid/Mega
,,Dialga in 5-star Raid Battles,Raid/Mega
,,Dialga in 5-star Raid Battles,Raid/Mega
,,Dialga in 5-star Raid Battles,Raid/Mega
,,"Mega Steelix, Scizor, and Lucario in Mega Raids",Raid/Mega
,,"Mega Steelix, Scizor, and Lucario in Mega Raids",Raid/Mega
,,"Mega Steelix, Scizor, and Lucario in Mega Raids",Raid/Mega
,,"Mega Steelix, Scizor, and Lucario in Mega Raids",Raid/Mega
,,Great League and Fantasy Cup: Great League Edition | Tales of Transformation,Event/News
,,Great League and Fantasy Cup: Great League Edition | Tales of Transformation,Event/News
,,Great League and Fantasy Cup: Great League Edition | Tales of Transformation,Event/News
,,Great League and Fantasy Cup: Great League Edition | Tales of Transformation,Event/News
,,Ferroseed Spotlight Hour,Spotlight
,,Ferroseed Spotlight Hour,Spotlight
,,Ferroseed Spotlight Hour,Spotlight
,,Ferroseed Spotlight Hour,Spotlight
,,Steel Skyline,Event/News
,,Steel Skyline,Event/News
,,Steel Skyline,Event/News
,,Steel Skyline,Event/News
,,Solosis Community Day,Community Day
,,Solosis Community Day,Community Day
,,Solosis Community Day,Community Day
,,Solosis Community Day,Community Day
,,Dynamax Drilbur during Max Monday,Event/News
,,Dynamax Drilbur during Max Monday,Event/News
,,Dynamax Drilbur during Max Monday,Event/News
,,Dynamax Drilbur during Max Monday,Event/News
,,Ultra League and Jungle Cup: Great League Edition | Tales of Transformation,Event/News
,,Ultra League and Jungle Cup: Great League Edition | Tales of Transformation,Event/News
,,Ultra League and Jungle Cup: Great League Edition | Tales of Transformation,Event/News
,,Ultra League and Jungle Cup: Great League Edition | Tales of Transformation,Event/News
,,Petilil Spotlight Hour,Spotlight
,,Petilil Spotlight Hour,Spotlight
,,Petilil Spotlight Hour,Spotlight
,,Petilil Spotlight Hour,Spotlight
,,XP Celebration,Event/News
,,XP Celebration,Event/News
,,XP Celebration,Event/News
,,XP Celebration,Event/News
,,Harvest Festival,Event/News
,,Harvest Festival,Event/News
,,Harvest Festival,Event/News
,,Harvest Festival,Event/News
,,Dynamax Bounsweet during Max Monday,Event/News
,,Dynamax Bounsweet during Max Monday,Event/News
,,Dynamax Bounsweet during Max Monday,Event/News
,,Dynamax Bounsweet during Max Monday,Event/News
,,Master Premier and Great League Remix | Tales of Transformation,Event/News
,,Master Premier and Great League Remix | Tales of Transformation,Event/News
,,Master Premier and Great League Remix | Tales of Transformation,Event/News
,,Master Premier and Great League Remix | Tales of Transformation,Event/News
,,Gastly Spotlight Hour,Spotlight
,,Gastly Spotlight Hour,Spotlight
,,Gastly Spotlight Hour,Spotlight
,,Gastly Spotlight Hour,Spotlight
,,Dynamax Gastly during Max Monday,Event/News
,,Dynamax Gastly during Max Monday,Event/News
,,Dynamax Gastly during Max Monday,Event/News
,,Dynamax Gastly during Max Monday,Event/News
,,GO Battle Weekend: Tales of Transformation,Event/News
,,GO Battle Weekend: Tales of Transformation,Event/News
,,GO Battle Weekend: Tales of Transformation,Event/News
,,GO Battle Weekend: Tales of Transformation,Event/News
,,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
,,Sinistea Spotlight Hour,Spotlight
,,Sinistea Spotlight Hour,Spotlight
,,Sinistea Spotlight Hour,Spotlight
,,Sinistea Spotlight Hour,Spotlight
,,Dynamax Woobat during Max Monday,Event/News
,,Dynamax Woobat during Max Monday,Event/News
,,Dynamax Woobat during Max Monday,Event/News
,,Dynamax Woobat during Max Monday,Event/News
,,Great League and Halloween Cup: Great League Edition | Tales of Transformation,Event/News
,,Great League and Halloween Cup: Great League Edition | Tales of Transformation,Event/News
,,Great League and Halloween Cup: Great League Edition | Tales of Transformation,Event/News
,,Great League and Halloween Cup: Great League Edition | Tales of Transformation,Event/News
,,Pokémon GO Wild Area: Nagasaki,Event/News
,,Pokémon GO Wild Area: Nagasaki,Event/News
,,Pokémon GO Wild Area: Nagasaki,Event/News
,,Pokémon GO Wild Area: Nagasaki,Event/News
,,Ultra League and Jungle Cup: Great League Edition | Tales of Transformation,Event/News
,,Ultra League and Jungle Cup: Great League Edition | Tales of Transformation,Event/News
,,Ultra League and Jungle Cup: Great League Edition | Tales of Transformation,Event/News
,,Ultra League and Jungle Cup: Great League Edition | Tales of Transformation,Event/News
,,Pokémon GO Wild Area: Global,Event/News
,,Pokémon GO Wild Area: Global,Event/News
,,Pokémon GO Wild Area: Global,Event/News
,,Pokémon GO Wild Area: Global,Event/News
,,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Great League, Ultra League, and Master League | Tales of Transformation",Event/News
,,2025 Championship Series Cup and Master League: Mega Edition | Tales of Transformation,Raid/Mega
,,2025 Championship Series Cup and Master League: Mega Edition | Tales of Transformation,Raid/Mega
,,2025 Championship Series Cup and Master League: Mega Edition | Tales of Transformation,Raid/Mega
,,2025 Championship Series Cup and Master League: Mega Edition | Tales of Transformation,Raid/Mega
,,November Community Day,Community Day
,,November Community Day,Community Day
,,November Community Day,Community Day
,,November Community Day,Community Day
,,Trade Days | Tales of Transformation,Event/News
,,Trade Days | Tales of Transformation,Event/News
,,Trade Days | Tales of Transformation,Event/News
,,Trade Days | Tales of Transformation,Event/News
,,Tales of Transformation,Event/News
,,Tales of Transformation,Event/News
,,Tales of Transformation,Event/News
,,Tales of Transformation,Event/News
,,"Catch Cup: Tales of Transformation: Great Edition, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Catch Cup: Tales of Transformation: Great Edition, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Catch Cup: Tales of Transformation: Great Edition, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Catch Cup: Tales of Transformation: Great Edition, Ultra League, and Master League | Tales of Transformation",Event/News
,,"Bangkok, Thailand - Pokémon GO City Safari",Event/News
,,"Bangkok, Thailand - Pokémon GO City Safari",Event/News
,,"Bangkok, Thailand - Pokémon GO City Safari",Event/News
,,"Bangkok, Thailand - Pokémon GO City Safari",Event/News
,,"Bangkok, Thailand - Pokémon GO City Safari",Event/News
,,"Amsterdam, Netherlands - Pokémon GO City Safari",Event/News
,,"Amsterdam, Netherlands - Pokémon GO City Safari",Event/News
,,"Amsterdam, Netherlands - Pokémon GO City Safari",Event/News
,,"Amsterdam, Netherlands - Pokémon GO City Safari",Event/News
,,"Valencia, Spain - Pokémon GO City Safari",Event/News
,,"Valencia, Spain - Pokémon GO City Safari",Event/News
,,"Valencia, Spain - Pokémon GO City Safari",Event/News
,,"Valencia, Spain - Pokémon GO City Safari",Event/News
,,"Cancún, Mexico - Pokémon GO City Safari",Event/News
,,"Cancún, Mexico - Pokémon GO City Safari",Event/News
,,"Cancún, Mexico - Pokémon GO City Safari",Event/News
,,"Cancún, Mexico - Pokémon GO City Safari",Event/News
,,"Vancouver, Canada - Pokémon GO City Safari",Event/News
,,"Vancouver, Canada - Pokémon GO City Safari",Event/News
,,"Vancouver, Canada - Pokémon GO City Safari",Event/News
,,"Vancouver, Canada - Pokémon GO City Safari",Event/News
,,Mega Camerupt Raid Day,Raid/Mega
,,Mega Camerupt Raid Day,Raid/Mega
,,Mega Camerupt Raid Day,Raid/Mega
,,Mega Camerupt Raid Day,Raid/Mega
,,Dynamax Beldum during Max Monday,Event/News
,,Dynamax Beldum during Max Monday,Event/News
,,Dynamax Beldum during Max Monday,Event/News
,,Dynamax Beldum during Max Monday,Event/News
